ANHO_ING,sexo,CODIGO_CARRERA_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,F,ADMPUB,65,58.0,57.0,50.0,50.0,0.8923076923076924,0.8769230769230769,0.7692307692307693,0.7692307692307693,PREGRADO
2007,F,ARQ,34,32.0,32.0,30.0,29.0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8529411764705882,PREGRADO
2007,F,BACHI,57,41.0,11.0,2.0,,0.7192982456140351,0.19298245614035087,0.03508771929824561,,PREGRADO
2007,F,CCIV,18,15.0,11.0,8.0,5.0,0.8333333333333334,0.6111111111111112,0.4444444444444444,0.2777777777777778,PREGRADO
2007,F,CONTA,86,77.0,67.0,64.0,62.0,0.8953488372093024,0.7790697674418605,0.7441860465116279,0.7209302325581395,PREGRADO
2007,F,DIPAGR,3,,,,,,,,,DIPLOMADO
2007,F,DIPAN,12,,,,,,,,,DIPLOMADO
2007,F,DIPAP,5,,,,,,,,,DIPLOMADO
2007,F,DIPAPR,29,,,,,,,,,DIPLOMADO
2007,F,DIPAR,22,1.0,,,,0.045454545454545456,,,,DIPLOMADO
2007,F,DIPCD,19,,,,,,,,,DIPLOMADO
2007,F,DIPCSA,6,,,,,,,,,DIPLOMADO
2007,F,DIPDHG,7,,,,,,,,,DIPLOMADO
2007,F,DIPEG,5,,,,,,,,,DIPLOMADO
2007,F,DIPEGCR,30,,,,,,,,,DIPLOMADO
2007,F,DIPEPC,7,,,,,,,,,DIPLOMADO
2007,F,DIPEREG,1,,,,,,,,,DIPLOMADO
2007,F,DIPET,34,,,,,,,,,DIPLOMADO
2007,F,DIPGA,10,,,1.0,,,,0.1,,DIPLOMADO
2007,F,DIPGC,8,,,,,,,,,DIPLOMADO
2007,F,DIPGCA,4,,,,,,,,,DIPLOMADO
2007,F,DIPGCLC,4,,,,,,,,,DIPLOMADO
2007,F,DIPGCSP,3,,,,,,,,,DIPLOMADO
2007,F,DIPGES,33,,,,,,,,,DIPLOMADO
2007,F,DIPGFIN,3,,,,,,,,,DIPLOMADO
2007,F,DIPGINM,4,,,,,,,,,DIPLOMADO
2007,F,DIPGLDN,8,,,,,,,,,DIPLOMADO
2007,F,DIPGLGC,6,,,,,,,,,DIPLOMADO
2007,F,DIPGLPD,8,,,1.0,,,,0.125,,DIPLOMADO
2007,F,DIPGS,8,,,,,,,,,DIPLOMADO
2007,F,DIPIEDF,11,,,,,,,,,DIPLOMADO
2007,F,DIPLAS,2,,,,,,,,,DIPLOMADO
2007,F,DIPMG,11,,,,,,,,,DIPLOMADO
2007,F,DIPNICI,41,,,,,,,,,DIPLOMADO
2007,F,DIPPINF,3,,,,,,,,,DIPLOMADO
2007,F,DIPPMM,3,,,,,,,,,DIPLOMADO
2007,F,DIPPN,8,,,,,,,,,DIPLOMADO
2007,F,DIPSD,5,,,,,,,,,DIPLOMADO
2007,F,DIPSGV,17,,,,,,,,,DIPLOMADO
2007,F,DOCBIO,3,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,F,DOCCSALIM,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,F,DOCCSING,4,4.0,3.0,2.0,2.0,1.0,0.75,0.5,0.5,DOCTORADO
2007,F,DOCESTAM,5,5.0,3.0,3.0,2.0,1.0,0.6,0.6,0.4,DOCTORADO
2007,F,DOCMICROBIO,1,1.0,1.0,1.0,,1.0,1.0,1.0,,DOCTORADO
2007,F,DOCQUIM,4,4.0,3.0,3.0,3.0,1.0,0.75,0.75,0.75,DOCTORADO
2007,F,ENF,46,44.0,43.0,42.0,41.0,0.9565217391304348,0.9347826086956522,0.9130434782608695,0.8913043478260869,PREGRADO
2007,F,ICELEC,11,8.0,8.0,7.0,7.0,0.7272727272727273,0.7272727272727273,0.6363636363636364,0.6363636363636364,PREGRADO
2007,F,ICGEOG,13,5.0,5.0,4.0,4.0,0.38461538461538464,0.38461538461538464,0.3076923076923077,0.3076923076923077,PREGRADO
2007,F,ICIND,52,49.0,47.0,39.0,35.0,0.9423076923076923,0.9038461538461539,0.75,0.6730769230769231,PREGRADO
2007,F,ICINF,9,4.0,4.0,3.0,3.0,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.3333333333333333,PREGRADO
2007,F,ICMEC,8,5.0,5.0,4.0,4.0,0.625,0.625,0.5,0.5,PREGRADO
2007,F,ICMET,10,7.0,7.0,7.0,7.0,0.7,0.7,0.7,0.7,PREGRADO
2007,F,ICMIN,22,20.0,19.0,15.0,12.0,0.9090909090909091,0.8636363636363636,0.6818181818181818,0.5454545454545454,PREGRADO
