ANHO_ING,sexo,CODIGO_CARRERA_x,SIES_x,coh,ret_1_n,ret_2_n,ret_3_n,ret_4_n,ret_1,ret_2,ret_3,ret_4,NIVEL_GLOBAL
2007,F,ADMPUB,I71S1C2J1V1,61,54.0,53.0,49.0,49.0,0.8852459016393442,0.8688524590163934,0.8032786885245902,0.8032786885245902,PREGRADO
2007,F,ADMPUB,I71S1C2J2V1,4,4.0,4.0,1.0,1.0,1.0,1.0,0.25,0.25,PREGRADO
2007,F,ARQ,I71S1C3J1V1,34,32.0,32.0,30.0,29.0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8529411764705882,PREGRADO
2007,F,BACHI,I71S1C4J1V1,57,41.0,11.0,2.0,,0.7192982456140351,0.19298245614035087,0.03508771929824561,,PREGRADO
2007,F,CCIV,I71S1C90J2V1,18,15.0,11.0,8.0,5.0,0.8333333333333334,0.6111111111111112,0.4444444444444444,0.2777777777777778,PREGRADO
2007,F,CONTA,I71S1C152J2V1,23,23.0,19.0,18.0,18.0,1.0,0.8260869565217391,0.782608695652174,0.782608695652174,PREGRADO
2007,F,CONTA,I71S1C6J1V1,56,51.0,46.0,44.0,41.0,0.9107142857142857,0.8214285714285714,0.7857142857142857,0.7321428571428571,PREGRADO
2007,F,CONTA,I71S1C6J2V1,8,4.0,3.0,3.0,4.0,0.5,0.375,0.375,0.5,PREGRADO
2007,F,DIPAGR,I71S1C253J2V1,3,,,,,,,,,DIPLOMADO
2007,F,DIPAN,I71S1C290J2V1,12,,,,,,,,,DIPLOMADO
2007,F,DIPAP,I71S1C214J2V1,5,,,,,,,,,DIPLOMADO
2007,F,DIPAPR,I71S1C316J2V1,29,,,,,,,,,DIPLOMADO
2007,F,DIPAR,I71S1C215J2V1,22,1.0,,,,0.045454545454545456,,,,DIPLOMADO
2007,F,DIPCD,I71S1C254J2V1,19,,,,,,,,,DIPLOMADO
2007,F,DIPCSA,I71S1C209J2V1,6,,,,,,,,,DIPLOMADO
2007,F,DIPDHG,I71S1C291J2V1,7,,,,,,,,,DIPLOMADO
2007,F,DIPEG,I71S1C338J2V1,5,,,,,,,,,DIPLOMADO
2007,F,DIPEGCR,I71S1C614J2V1,30,,,,,,,,,DIPLOMADO
2007,F,DIPEPC,I71S1C295J1V1,7,,,,,,,,,DIPLOMADO
2007,F,DIPEREG,0,1,,,,,,,,,DIPLOMADO
2007,F,DIPET,0,34,,,,,,,,,DIPLOMADO
2007,F,DIPGA,I71S1C213J2V1,10,,,1.0,,,,0.1,,DIPLOMADO
2007,F,DIPGC,I71S1C213J2V1,8,,,,,,,,,DIPLOMADO
2007,F,DIPGCA,I71S1C342J2V1,4,,,,,,,,,DIPLOMADO
2007,F,DIPGCLC,I71S1C355J2V1,4,,,,,,,,,DIPLOMADO
2007,F,DIPGCSP,I71S1C323J2V1,3,,,,,,,,,DIPLOMADO
2007,F,DIPGES,I71S1C320J1V1,33,,,,,,,,,DIPLOMADO
2007,F,DIPGFIN,I71S1C292J2V1,3,,,,,,,,,DIPLOMADO
2007,F,DIPGINM,0,4,,,,,,,,,DIPLOMADO
2007,F,DIPGLDN,0,8,,,,,,,,,DIPLOMADO
2007,F,DIPGLGC,I71S1C293J2V1,6,,,,,,,,,DIPLOMADO
2007,F,DIPGLPD,I71S1C217J2V1,8,,,1.0,,,,0.125,,DIPLOMADO
2007,F,DIPGS,I71S1C216J2V1,8,,,,,,,,,DIPLOMADO
2007,F,DIPIEDF,I71S1C130J2V1,11,,,,,,,,,DIPLOMADO
2007,F,DIPLAS,0,2,,,,,,,,,DIPLOMADO
2007,F,DIPMG,I71S1C257J2V1,11,,,,,,,,,DIPLOMADO
2007,F,DIPNICI,I71S1C218J2V1,41,,,,,,,,,DIPLOMADO
2007,F,DIPPINF,I71S1C208J2V1,3,,,,,,,,,DIPLOMADO
2007,F,DIPPMM,I71S1C177J2V1,3,,,,,,,,,DIPLOMADO
2007,F,DIPPN,0,8,,,,,,,,,DIPLOMADO
2007,F,DIPSD,0,5,,,,,,,,,DIPLOMADO
2007,F,DIPSGV,0,17,,,,,,,,,DIPLOMADO
2007,F,DOCBIO,I71S1C118J1V1,3,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,F,DOCCSALIM,I71S1C227J1V1,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,DOCTORADO
2007,F,DOCCSING,I71S1C114J1V1,2,2.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,DOCTORADO
2007,F,DOCCSING,I71S1C131J2V1,2,2.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,DOCTORADO
2007,F,DOCESTAM,I71S1C9J2V1,5,5.0,3.0,3.0,2.0,1.0,0.6,0.6,0.4,DOCTORADO
2007,F,DOCMICROBIO,I71S1C98J2V1,1,1.0,1.0,1.0,,1.0,1.0,1.0,,DOCTORADO
2007,F,DOCQUIM,I71S1C10J2V1,4,4.0,3.0,3.0,3.0,1.0,0.75,0.75,0.75,DOCTORADO
2007,F,ENF,I71S1C11J1V1,46,44.0,43.0,42.0,41.0,0.9565217391304348,0.9347826086956522,0.9130434782608695,0.8913043478260869,PREGRADO
2007,F,ICELEC,I71S1C119J2V1,1,,,,,,,,,PREGRADO
2007,F,ICELEC,I71S1C14J1V1,10,8.0,8.0,7.0,7.0,0.8,0.8,0.7,0.7,PREGRADO
