COH_CIDI,CODIGO_CARRERA,NIVEL_GLOBAL_2,ANHO_ING,anho_op_arriba,0,1,tasa
1,ADMIND,PREGRADO,2009,2012,1.0,,
1,ADMIND,PREGRADO,2014,2016,,9.0,
1,ADMIND,PREGRADO,2015,2017,2.0,9.0,0.8181818181818182
1,ADMIND,PREGRADO,2016,2018,,7.0,
1,ADMIND,PREGRADO,2023,2025,3.0,7.0,0.7
1,ADMIND,PREGRADO,2024,2026,6.0,,
1,ADMPUB,PREGRADO,2007,2012,40.0,77.0,0.6581196581196581
1,ADMPUB,PREGRADO,2008,2013,42.0,72.0,0.631578947368421
1,ADMPUB,PREGRADO,2009,2014,31.0,77.0,0.7129629629629629
1,ADMPUB,PREGRADO,2010,2015,47.0,85.0,0.6439393939393939
1,ADMPUB,PREGRADO,2011,2016,45.0,63.0,0.5833333333333334
1,ADMPUB,PREGRADO,2012,2017,48.0,85.0,0.6390977443609023
1,ADMPUB,PREGRADO,2013,2018,52.0,86.0,0.6231884057971014
1,ADMPUB,PREGRADO,2014,2019,60.0,73.0,0.5488721804511278
1,ADMPUB,PREGRADO,2015,2020,102.0,75.0,0.423728813559322
1,ADMPUB,PREGRADO,2016,2021,68.0,110.0,0.6179775280898876
1,ADMPUB,PREGRADO,2017,2022,70.0,127.0,0.6446700507614214
1,ADMPUB,PREGRADO,2018,2023,60.0,135.0,0.6923076923076923
1,ADMPUB,PREGRADO,2019,2024,61.0,125.0,0.6720430107526881
1,ADMPUB,PREGRADO,2020,2025,42.0,132.0,0.7586206896551724
1,ADMPUB,PREGRADO,2021,2026,61.0,32.0,0.34408602150537637
1,ADMPUB,PREGRADO,2022,2027,97.0,29.0,0.23015873015873015
1,ADMPUB,PREGRADO,2023,2028,152.0,,
1,ADMPUB,PREGRADO,2024,2029,131.0,,
1,ADMPUB,PREGRADO,2025,2030,168.0,,
1,AGPP,PREGRADO,2023,2028,36.0,,
1,AGPP,PREGRADO,2024,2029,32.0,,
1,AGPP,PREGRADO,2025,2030,40.0,,
1,ARQ,DIPLOMADO,2008,2014,1.0,,
1,ARQ,DIPLOMADO,2009,2015,4.0,,
1,ARQ,DIPLOMADO,2010,2016,7.0,13.0,0.65
1,ARQ,DIPLOMADO,2011,2017,6.0,26.0,0.8125
1,ARQ,DIPLOMADO,2012,2018,1.0,41.0,0.9761904761904762
1,ARQ,DIPLOMADO,2013,2019,4.0,11.0,0.7333333333333333
1,ARQ,DIPLOMADO,2014,2020,2.0,6.0,0.75
1,ARQ,DIPLOMADO,2015,2021,6.0,15.0,0.7142857142857143
1,ARQ,DIPLOMADO,2016,2022,2.0,21.0,0.9130434782608695
1,ARQ,DIPLOMADO,2017,2023,5.0,27.0,0.84375
1,ARQ,DIPLOMADO,2018,2024,,46.0,
1,ARQ,DIPLOMADO,2019,2025,,50.0,
1,ARQ,DIPLOMADO,2021,2027,,1.0,
1,ARQ,PREGRADO,2007,2013,23.0,43.0,0.6515151515151515
1,ARQ,PREGRADO,2008,2014,30.0,29.0,0.4915254237288136
1,ARQ,PREGRADO,2009,2015,23.0,34.0,0.5964912280701754
1,ARQ,PREGRADO,2010,2016,26.0,18.0,0.4090909090909091
1,ARQ,PREGRADO,2011,2017,27.0,11.0,0.2894736842105263
1,ARQ,PREGRADO,2012,2018,41.0,9.0,0.18
1,ARQ,PREGRADO,2013,2019,26.0,29.0,0.5272727272727272
1,ARQ,PREGRADO,2014,2020,42.0,22.0,0.34375
1,ARQ,PREGRADO,2015,2021,27.0,28.0,0.509090909090909
1,ARQ,PREGRADO,2016,2022,22.0,25.0,0.5319148936170213
1,ARQ,PREGRADO,2017,2023,23.0,12.0,0.34285714285714286
1,ARQ,PREGRADO,2018,2024,19.0,7.0,0.2692307692307692
1,ARQ,PREGRADO,2019,2025,23.0,5.0,0.17857142857142858
1,ARQ,PREGRADO,2020,2026,61.0,44.0,0.41904761904761906
1,ARQ,PREGRADO,2021,2027,100.0,,
1,ARQ,PREGRADO,2022,2028,96.0,,
1,ARQ,PREGRADO,2023,2029,98.0,,
1,ARQ,PREGRADO,2024,2030,81.0,,
1,ARQ,PREGRADO,2025,2031,111.0,,
1,ASFIMCD,PREGRADO,2022,2026,31.0,,
1,ASFIMCD,PREGRADO,2023,2027,38.0,,
1,ASFIMCD,PREGRADO,2024,2028,28.0,,
1,ASFIMCD,PREGRADO,2025,2029,36.0,,
1,BACHI,PREGRADO,2007,2009,92.0,14.0,0.1320754716981132
1,BACHI,PREGRADO,2008,2010,127.0,64.0,0.33507853403141363
1,BACHI,PREGRADO,2009,2011,122.0,88.0,0.41904761904761906
1,BACHI,PREGRADO,2010,2012,158.0,33.0,0.17277486910994763
1,BACHI,PREGRADO,2011,2013,155.0,41.0,0.20918367346938777
1,BACHI,PREGRADO,2012,2014,132.0,108.0,0.45
1,BACHI,PREGRADO,2013,2015,166.0,74.0,0.30833333333333335
1,BACHI,PREGRADO,2014,2016,237.0,2.0,0.008368200836820083
1,BACHI,PREGRADO,2015,2017,177.0,48.0,0.21333333333333335
1,BACHI,PREGRADO,2016,2018,97.0,75.0,0.436046511627907
1,BACHI,PREGRADO,2017,2019,100.0,84.0,0.45652173913043476
1,BACHI,PREGRADO,2018,2020,163.0,38.0,0.1890547263681592
1,BACHI,PREGRADO,2019,2021,142.0,61.0,0.30049261083743845
1,BACHI,PREGRADO,2020,2022,133.0,60.0,0.31088082901554404
1,BACHI,PREGRADO,2021,2023,169.0,,
1,BACHI,PREGRADO,2022,2024,169.0,,
